policy_id,customer_id,policy_type,premium,sum_assured,tenure_months,start_date,end_date,channel,product_name
POL200118,CUST100348,Health,9800.0,271000.0,12,2022-12-01,2023-11-26,Broker,Individual Health
POL200119,CUST104993,Health,23100.0,1286000.0,24,2024-09-01,2026-08-22,Direct,Critical Illness
POL200120,CUST100209,Marine,11500.0,261000.0,12,2023-09-07,2024-09-01,Agent,Marine Cargo
POL200121,CUST102004,Marine,2100.0,65000.0,60,2023-01-16,2027-12-21,Agent,Marine Hull
POL200122,CUST102261,Life,19300.0,835000.0,36,2021-01-13,2023-12-29,Agent,Endowment Plan
POL200123,CUST101726,Life,37100.0,2079000.0,24,2021-11-30,2023-11-20,Agent,ULIP
POL200124,CUST101090,Property,2900.0,104000.0,6,2022-03-15,2022-09-11,Agent,Home Shield
POL200125,CUST102652,Life,22400.0,940000.0,12,2021-04-27,2022-04-22,Broker,ULIP
POL200126,CUST100036,Motor,28300.0,840000.0,36,2021-06-15,2024-05-30,Agent,Motor Comprehensive
POL200127,CUST103716,Health,12400.0,295000.0,24,2022-12-10,2024-11-29,Agent,Critical Illness
POL200128,CUST103396,Motor,20700.0,1000000.0,12,2022-04-08,2023-04-03,Direct,Motor Comprehensive
POL200129,CUST103854,Property,2000.0,96000.0,12,2022-07-21,2023-07-16,Agent,Home Shield
POL200130,CUST104080,Life,18400.0,991000.0,6,2024-01-14,2024-07-12,Agent,Endowment Plan
POL200131,CUST104437,Travel,23800.0,518000.0,24,2022-04-10,2024-03-30,Bancassurance,International Travel
POL200132,CUST100739,Motor,13100.0,231000.0,12,2024-02-21,2025-02-15,Agent,Motor Comprehensive
POL200133,CUST104175,Health,13400.0,578000.0,12,2024-07-18,2025-07-13,Bancassurance,Family Floater
POL200134,CUST102819,Life,21000.0,777000.0,12,2023-09-05,2024-08-30,Bancassurance,ULIP
POL200135,CUST100617,Property,17100.0,738000.0,6,2023-09-08,2024-03-06,Online,Home Shield
POL200136,CUST104919,Property,30300.0,780000.0,36,2021-07-17,2024-07-01,Agent,Property All-Risk
POL200137,CUST104058,Motor,17900.0,934000.0,24,2021-03-15,2023-03-05,Broker,Motor Comprehensive
POL200138,CUST101343,Travel,21400.0,749000.0,12,2023-11-24,2024-11-18,Bancassurance,Domestic Travel
POL200139,CUST104452,Travel,13600.0,619000.0,6,2023-04-30,2023-10-27,Direct,Domestic Travel
POL200140,CUST103654,Travel,13600.0,323000.0,24,2023-11-28,2025-11-17,Broker,International Travel
POL200141,CUST102235,Life,25700.0,443000.0,36,2023-07-17,2026-07-01,Agent,Endowment Plan
POL200142,CUST100810,Property,27400.0,852000.0,12,2021-03-05,2022-02-28,Broker,Fire & Allied Perils
POL200143,CUST103655,Motor,7000.0,239000.0,24,2023-03-14,2025-03-03,Agent,Motor Own-Damage
POL200144,CUST104660,Motor,15300.0,525000.0,60,2023-03-18,2028-02-20,Agent,Motor Third-Party
POL200145,CUST100963,Motor,21600.0,557000.0,12,2023-08-26,2024-08-20,Agent,Motor Comprehensive
POL200146,CUST100002,Health,3300.0,119000.0,24,2023-01-04,2024-12-24,Broker,Individual Health
POL200147,CUST101147,Travel,15100.0,570000.0,12,2022-11-22,2023-11-17,Bancassurance,Domestic Travel
POL200148,CUST101473,Life,46500.0,1297000.0,6,2023-08-04,2024-01-31,Agent,Endowment Plan
POL200149,CUST101895,Health,10000.0,299000.0,36,2023-06-15,2026-05-30,Broker,Individual Health
POL200150,CUST104882,Property,9800.0,394000.0,36,2023-10-03,2026-09-17,Direct,Home Shield
POL200151,CUST104817,Health,16500.0,281000.0,12,2022-02-26,2023-02-21,Broker,Critical Illness
POL200152,CUST103353,Health,17200.0,290000.0,24,2021-04-07,2023-03-28,Direct,Individual Health
POL200153,CUST101086,Life,14200.0,489000.0,24,2022-11-25,2024-11-14,Agent,Term Life
POL200154,CUST101059,Health,27700.0,494000.0,36,2021-12-30,2024-12-14,Bancassurance,Family Floater
POL200155,CUST100408,Life,4900.0,238000.0,24,2021-10-08,2023-09-28,Agent,Term Life
POL200156,CUST103956,Property,9500.0,393000.0,24,2024-04-19,2026-04-09,Online,Property All-Risk
POL200157,CUST101104,Health,15200.0,246000.0,24,2023-03-31,2025-03-20,Direct,Family Floater
POL200158,CUST104490,Health,31000.0,925000.0,12,2023-01-28,2024-01-23,Direct,Individual Health
POL200159,CUST103001,Health,11800.0,224000.0,12,2022-03-24,2023-03-19,Online,Individual Health
POL200160,CUST102436,Marine,8900.0,496000.0,36,2024-04-04,2027-03-20,Online,Marine Hull
POL200161,CUST104646,Health,3900.0,113000.0,60,2024-06-04,2029-05-09,Broker,Individual Health
POL200162,CUST100780,Property,8300.0,267000.0,6,2022-01-09,2022-07-08,Bancassurance,Fire & Allied Perils
POL200163,CUST102318,Life,4200.0,212000.0,24,2022-12-07,2024-11-26,Online,ULIP
POL200164,CUST101292,Motor,11300.0,280000.0,12,2024-10-02,2025-09-27,Broker,Motor Comprehensive
POL200165,CUST100905,Health,22800.0,555000.0,24,2023-05-07,2025-04-26,Bancassurance,Individual Health
POL200166,CUST104715,Motor,20600.0,1057000.0,12,2022-11-07,2023-11-02,Bancassurance,Motor Comprehensive
POL200167,CUST103026,Motor,23500.0,916000.0,60,2023-12-25,2028-11-28,Broker,Motor Comprehensive
POL200168,CUST100805,Motor,7300.0,194000.0,24,2022-12-12,2024-12-01,Broker,Motor Comprehensive
POL200169,CUST100536,Life,5700.0,126000.0,24,2021-04-01,2023-03-22,Online,ULIP
POL200170,CUST101559,Life,19900.0,1007000.0,12,2022-03-05,2023-02-28,Bancassurance,ULIP
POL200171,CUST104168,Health,26400.0,638000.0,12,2024-05-26,2025-05-21,Bancassurance,Family Floater
POL200172,CUST100727,Health,16500.0,612000.0,12,2024-03-04,2025-02-27,Agent,Individual Health
POL200173,CUST103708,Health,20800.0,490000.0,12,2024-06-03,2025-05-29,Agent,Critical Illness
POL200174,CUST100528,Marine,15800.0,504000.0,12,2023-10-15,2024-10-09,Agent,Marine Cargo
POL200175,CUST101683,Travel,12300.0,231000.0,36,2022-05-21,2025-05-05,Agent,International Travel
POL200176,CUST102610,Property,13600.0,210000.0,12,2024-06-15,2025-06-10,Online,Fire & Allied Perils
POL200177,CUST100645,Motor,26200.0,1073000.0,12,2022-10-16,2023-10-11,Online,Motor Own-Damage
POL200178,CUST101983,Marine,15600.0,634000.0,36,2022-09-11,2025-08-26,Agent,Marine Cargo
POL200179,CUST101339,Property,26000.0,612000.0,24,2024-03-03,2026-02-21,Agent,Property All-Risk
POL200180,CUST100230,Motor,17900.0,427000.0,12,2024-04-06,2025-04-01,Bancassurance,Motor Third-Party
POL200181,CUST100004,Health,11200.0,558000.0,24,2024-02-06,2026-01-26,Bancassurance,Family Floater
POL200182,CUST100725,Health,21600.0,758000.0,12,2022-10-06,2023-10-01,Broker,Individual Health
POL200183,CUST103742,Life,16000.0,675000.0,12,2023-11-30,2024-11-24,Agent,ULIP
POL200184,CUST100188,Health,29500.0,814000.0,12,2022-03-20,2023-03-15,Agent,Critical Illness
POL200185,CUST102528,Motor,9700.0,401000.0,12,2022-07-05,2023-06-30,Broker,Motor Comprehensive
POL200186,CUST100122,Motor,4300.0,145000.0,36,2024-12-11,2027-11-26,Bancassurance,Motor Third-Party
POL200187,CUST101078,Health,22900.0,626000.0,60,2024-11-14,2029-10-19,Agent,Family Floater
POL200188,CUST100892,Life,33000.0,1317000.0,12,2022-02-03,2023-01-29,Online,Endowment Plan
POL200189,CUST101699,Health,26400.0,478000.0,36,2022-03-01,2025-02-13,Direct,Critical Illness
POL200190,CUST103718,Motor,34600.0,716000.0,24,2021-10-18,2023-10-08,Broker,Motor Own-Damage
POL200191,CUST102105,Life,38700.0,1353000.0,12,2022-07-17,2023-07-12,Bancassurance,Endowment Plan
POL200192,CUST100073,Travel,14700.0,424000.0,12,2023-05-06,2024-04-30,Agent,International Travel
POL200193,CUST100723,Motor,8500.0,436000.0,12,2024-06-06,2025-06-01,Agent,Motor Third-Party
POL200194,CUST101522,Health,2100.0,50000.0,12,2024-01-24,2025-01-18,Agent,Individual Health
POL200195,CUST101392,Health,4600.0,97000.0,12,2023-07-24,2024-07-18,Broker,Family Floater
POL200196,CUST102823,Motor,22300.0,401000.0,12,2021-07-22,2022-07-17,Online,Motor Comprehensive
POL200197,CUST101754,Property,4800.0,248000.0,12,2021-08-30,2022-08-25,Direct,Fire & Allied Perils
POL200198,CUST103718,Travel,19000.0,1020000.0,12,2024-03-16,2025-03-11,Bancassurance,Domestic Travel
POL200199,CUST101262,Health,23200.0,1289000.0,12,2024-02-03,2025-01-28,Online,Family Floater
POL200200,CUST103389,Health,16900.0,928000.0,12,2024-11-18,2025-11-13,Agent,Family Floater
POL200201,CUST100503,Motor,13400.0,728000.0,12,2022-02-07,2023-02-02,Bancassurance,Motor Third-Party
POL200202,CUST104942,Life,9400.0,553000.0,12,2023-01-19,2024-01-14,Online,ULIP
POL200203,CUST104933,Motor,35900.0,1182000.0,6,2023-10-18,2024-04-15,Agent,Motor Own-Damage
POL200204,CUST101378,Health,2500.0,112000.0,12,2024-11-11,2025-11-06,Broker,Individual Health
POL200205,CUST101170,Motor,9300.0,157000.0,12,2021-02-15,2022-02-10,Online,Motor Own-Damage
POL200206,CUST100000,Life,13500.0,729000.0,12,2021-07-20,2022-07-15,Agent,Term Life
POL200207,CUST104879,Marine,12500.0,269000.0,12,2024-09-15,2025-09-10,Agent,Marine Hull
POL200208,CUST100191,Motor,24000.0,1096000.0,60,2023-04-15,2028-03-19,Direct,Motor Comprehensive
POL200209,CUST100010,Property,17900.0,531000.0,24,2022-03-26,2024-03-15,Agent,Home Shield
POL200210,CUST100487,Property,6800.0,282000.0,24,2024-07-14,2026-07-04,Online,Fire & Allied Perils
POL200211,CUST101474,Motor,25500.0,1293000.0,24,2022-02-26,2024-02-16,Bancassurance,Motor Comprehensive
POL200212,CUST104876,Marine,9300.0,352000.0,24,2022-10-29,2024-10-18,Online,Marine Hull
POL200213,CUST100832,Life,19200.0,1109000.0,12,2024-07-27,2025-07-22,Bancassurance,ULIP
POL200214,CUST102850,Health,34100.0,986000.0,36,2024-04-21,2027-04-06,Bancassurance,Critical Illness
POL200215,CUST103252,Life,10800.0,434000.0,12,2024-04-11,2025-04-06,Agent,Endowment Plan
POL200216,CUST103996,Motor,11200.0,600000.0,12,2023-08-14,2024-08-08,Agent,Motor Own-Damage
POL200217,CUST103496,Motor,14700.0,585000.0,12,2024-02-21,2025-02-15,Broker,Motor Own-Damage
POL200218,CUST104925,Health,15000.0,586000.0,12,2022-01-15,2023-01-10,Broker,Family Floater
POL200219,CUST103308,Life,18300.0,593000.0,24,2021-11-13,2023-11-03,Direct,Endowment Plan
POL200220,CUST104221,Marine,21800.0,1090000.0,12,2024-08-07,2025-08-02,Online,Marine Hull
POL200221,CUST101599,Health,9000.0,280000.0,12,2024-02-03,2025-01-28,Agent,Individual Health
POL200222,CUST102038,Motor,16000.0,419000.0,24,2022-06-26,2024-06-15,Broker,Motor Third-Party
POL200223,CUST103685,Motor,8000.0,166000.0,36,2021-08-30,2024-08-14,Broker,Motor Third-Party
POL200224,CUST104379,Travel,23400.0,801000.0,12,2021-03-08,2022-03-03,Agent,International Travel
POL200225,CUST100025,Motor,28800.0,803000.0,12,2023-02-20,2024-02-15,Bancassurance,Motor Third-Party
POL200226,CUST102168,Marine,12500.0,744000.0,24,2021-12-04,2023-11-24,Bancassurance,Marine Cargo
POL200227,CUST104011,Motor,17400.0,739000.0,12,2023-02-19,2024-02-14,Bancassurance,Motor Own-Damage
POL200228,CUST100569,Motor,33100.0,1975000.0,12,2024-03-12,2025-03-07,Online,Motor Own-Damage
POL200229,CUST101764,Motor,19900.0,921000.0,6,2022-08-12,2023-02-08,Broker,Motor Third-Party
POL200230,CUST102740,Health,8100.0,430000.0,6,2023-11-16,2024-05-14,Broker,Family Floater
POL200231,CUST100414,Health,5500.0,110000.0,12,2024-07-05,2025-06-30,Agent,Individual Health
POL200232,CUST104578,Marine,9900.0,457000.0,24,2023-09-03,2025-08-23,Online,Marine Cargo
POL200233,CUST101838,Health,14000.0,285000.0,12,2024-06-24,2025-06-19,Agent,Family Floater
POL200234,CUST103922,Motor,25000.0,540000.0,12,2021-05-10,2022-05-05,Agent,Motor Comprehensive
POL200235,CUST102137,Life,13200.0,244000.0,12,2023-10-14,2024-10-08,Bancassurance,Term Life
POL200236,CUST102009,Health,7600.0,327000.0,12,2024-01-28,2025-01-22,Broker,Critical Illness
POL200237,CUST104829,Life,13700.0,607000.0,24,2023-10-14,2025-10-03,Bancassurance,Endowment Plan
POL200238,CUST104274,Property,14200.0,399000.0,36,2023-06-11,2026-05-26,Online,Property All-Risk
POL200239,CUST102579,Travel,10200.0,564000.0,12,2023-06-23,2024-06-17,Online,International Travel
POL200240,CUST102320,Health,13300.0,752000.0,24,2021-07-10,2023-06-30,Bancassurance,Family Floater
POL200241,CUST103904,Health,17500.0,896000.0,12,2023-01-25,2024-01-20,Online,Family Floater
POL200242,CUST103422,Health,5000.0,216000.0,12,2022-10-08,2023-10-03,Bancassurance,Family Floater
POL200243,CUST104896,Health,14200.0,595000.0,12,2024-06-07,2025-06-02,Agent,Family Floater
POL200244,CUST101665,Health,51200.0,1674000.0,12,2022-04-09,2023-04-04,Bancassurance,Family Floater
POL200245,CUST100563,Motor,19500.0,693000.0,24,2022-08-22,2024-08-11,Agent,Motor Third-Party
POL200246,CUST100973,Motor,25200.0,538000.0,24,2023-11-07,2025-10-27,Agent,Motor Own-Damage
POL200247,CUST102638,Travel,32900.0,1908000.0,36,2021-08-06,2024-07-21,Bancassurance,Domestic Travel
POL200248,CUST101567,Marine,36400.0,1511000.0,12,2022-09-03,2023-08-29,Broker,Marine Hull
POL200249,CUST104046,Motor,11400.0,366000.0,24,2023-04-24,2025-04-13,Bancassurance,Motor Comprehensive
POL200250,CUST104375,Travel,5300.0,128000.0,12,2023-09-23,2024-09-17,Broker,International Travel
POL200251,CUST100934,Property,27600.0,919000.0,12,2024-07-26,2025-07-21,Agent,Property All-Risk
POL200252,CUST104948,Motor,14100.0,318000.0,12,2024-09-01,2025-08-27,Bancassurance,Motor Own-Damage
POL200253,CUST103156,Marine,14500.0,738000.0,24,2021-02-24,2023-02-14,Agent,Marine Hull
POL200254,CUST101319,Travel,21600.0,1026000.0,36,2022-09-17,2025-09-01,Bancassurance,International Travel
POL200255,CUST101005,Life,16100.0,782000.0,24,2024-09-28,2026-09-18,Online,Term Life
POL200256,CUST100826,Property,18500.0,847000.0,24,2024-07-03,2026-06-23,Agent,Fire & Allied Perils
POL200257,CUST102355,Health,19400.0,1072000.0,36,2023-07-14,2026-06-28,Agent,Family Floater
POL200258,CUST100355,Health,27800.0,645000.0,24,2022-05-28,2024-05-17,Agent,Critical Illness
POL200259,CUST100655,Life,20500.0,792000.0,12,2023-10-04,2024-09-28,Agent,Term Life
POL200260,CUST103769,Health,7900.0,338000.0,24,2022-04-06,2024-03-26,Online,Individual Health
POL200261,CUST102444,Health,7800.0,462000.0,12,2023-08-03,2024-07-28,Bancassurance,Family Floater
POL200262,CUST102640,Life,10700.0,335000.0,12,2021-08-16,2022-08-11,Direct,ULIP
POL200263,CUST101623,Property,19900.0,546000.0,60,2021-10-07,2026-09-11,Agent,Fire & Allied Perils
