claim_id,policy_id,customer_id,claim_date,claim_type,claim_amount,settlement_amount,status,fraud_flag,days_to_settle
CLM300031,POL205378,CUST101046,2024-03-27,Natural Calamity,68600.0,45400.0,Settled,0,16.0
CLM300032,POL205552,CUST102088,2024-03-20,Third-Party Liability,69500.0,52200.0,Settled,0,76.0
CLM300033,POL207921,CUST104596,2023-11-24,Fire,74800.0,41200.0,Settled,0,68.0
CLM300034,POL203886,CUST104188,2023-07-04,Third-Party Liability,32500.0,,Rejected,0,
CLM300035,POL207485,CUST101088,2026-05-18,Natural Calamity,24500.0,14500.0,Settled,0,40.0
CLM300036,POL206101,CUST103253,2026-06-26,Fire,31300.0,22600.0,Settled,0,45.0
CLM300037,POL205683,CUST100915,2025-02-26,Fire,55500.0,34300.0,Settled,0,86.0
CLM300038,POL203147,CUST100255,2025-03-03,Theft,18600.0,11300.0,Settled,0,15.0
CLM300039,POL203579,CUST100503,2023-10-09,Theft,25000.0,15900.0,Settled,0,44.0
CLM300040,POL207110,CUST100533,2022-08-04,Fire,12800.0,12300.0,Settled,0,6.0
CLM300041,POL200159,CUST103001,2023-06-14,Own Damage,45000.0,26600.0,Settled,0,83.0
CLM300042,POL205283,CUST103500,2024-08-14,Death,27400.0,18000.0,Settled,0,18.0
CLM300043,POL209030,CUST104561,2024-12-03,Medical,7000.0,5400.0,Settled,0,89.0
CLM300044,POL200848,CUST100952,2025-05-02,Own Damage,10900.0,8700.0,Settled,0,44.0
CLM300045,POL209415,CUST101508,2023-08-25,Natural Calamity,30300.0,22500.0,Settled,1,13.0
CLM300046,POL207454,CUST104380,2026-01-23,Medical,21900.0,14700.0,Settled,0,38.0
CLM300047,POL207076,CUST100369,2022-09-26,Medical,56700.0,54300.0,Settled,0,12.0
CLM300048,POL203351,CUST104220,2024-11-05,Own Damage,57100.0,33900.0,Settled,0,46.0
CLM300049,POL206436,CUST104223,2023-12-25,Own Damage,11400.0,,Rejected,1,
CLM300050,POL207597,CUST101109,2024-05-29,Natural Calamity,14900.0,9100.0,Settled,0,67.0
CLM300051,POL206088,CUST102731,2025-03-13,Death,29400.0,16500.0,Settled,1,23.0
CLM300052,POL206671,CUST102821,2024-08-02,Accident,17200.0,10400.0,Settled,1,71.0
CLM300053,POL202132,CUST102664,2026-04-25,Medical,8100.0,,Pending,0,
CLM300054,POL209400,CUST103438,2025-06-02,Medical,40600.0,29000.0,Settled,0,44.0
CLM300055,POL203235,CUST102790,2024-04-05,Fire,97200.0,,Rejected,0,
CLM300056,POL207383,CUST100810,2024-03-26,Fire,26100.0,19300.0,Settled,0,79.0
CLM300057,POL208060,CUST101971,2024-06-18,Third-Party Liability,45400.0,37100.0,Settled,1,39.0
CLM300058,POL202053,CUST104136,2024-03-01,Third-Party Liability,24000.0,13600.0,Settled,0,61.0
CLM300059,POL205394,CUST102439,2024-10-15,Fire,44300.0,35900.0,Settled,0,75.0
CLM300060,POL202668,CUST101798,2024-07-21,Fire,73200.0,,Rejected,0,
CLM300061,POL200658,CUST101377,2024-02-28,Own Damage,120700.0,,Pending,0,
CLM300062,POL209085,CUST101287,2024-03-01,Natural Calamity,109700.0,61200.0,Settled,0,22.0
CLM300063,POL206707,CUST102545,2024-06-25,Accident,79600.0,64200.0,Settled,1,3.0
CLM300064,POL202461,CUST104280,2022-12-27,Natural Calamity,26600.0,21200.0,Settled,0,83.0
CLM300065,POL204450,CUST103624,2024-05-12,Medical,219400.0,195200.0,Settled,0,12.0
CLM300066,POL205575,CUST103729,2023-11-09,Death,106200.0,82400.0,Settled,0,87.0
CLM300067,POL201590,CUST103099,2025-03-07,Death,28200.0,28000.0,Settled,0,59.0
CLM300068,POL206837,CUST104474,2025-05-22,Own Damage,38600.0,,Pending,0,
CLM300069,POL204672,CUST102074,2023-05-05,Fire,52500.0,30000.0,Settled,0,83.0
CLM300070,POL201026,CUST102277,2024-11-28,Theft,33600.0,,Pending,0,
CLM300071,POL205145,CUST100850,2025-10-23,Accident,21400.0,14600.0,Settled,0,70.0
CLM300072,POL201685,CUST100680,2023-06-23,Own Damage,58800.0,42100.0,Settled,0,52.0
CLM300073,POL206157,CUST102161,2022-07-08,Fire,70600.0,45000.0,Settled,0,22.0
CLM300074,POL206161,CUST102145,2022-05-15,Death,28300.0,25800.0,Settled,0,22.0
CLM300075,POL209077,CUST102758,2024-06-13,Own Damage,32200.0,,Rejected,0,
CLM300076,POL205488,CUST104147,2023-02-21,Third-Party Liability,38300.0,27900.0,Settled,0,77.0
CLM300077,POL204043,CUST100508,2023-11-12,Fire,52400.0,31000.0,Settled,0,13.0
CLM300078,POL200302,CUST101319,2024-07-22,Theft,44300.0,44000.0,Settled,0,7.0
CLM300079,POL205394,CUST102439,2024-06-22,Accident,22800.0,,Rejected,0,
CLM300080,POL207138,CUST101291,2022-12-10,Fire,46500.0,35600.0,Settled,0,77.0
CLM300081,POL209052,CUST101080,2023-07-11,Fire,78200.0,77200.0,Settled,0,84.0
CLM300082,POL200611,CUST101642,2025-03-24,Own Damage,21500.0,14900.0,Settled,0,26.0
CLM300083,POL203273,CUST101246,2022-08-03,Own Damage,54200.0,51900.0,Settled,0,18.0
CLM300084,POL207465,CUST102533,2022-05-13,Natural Calamity,132500.0,108600.0,Settled,0,68.0
CLM300085,POL200963,CUST101501,2026-07-05,Theft,114300.0,87200.0,Settled,0,57.0
CLM300086,POL201850,CUST103923,2023-08-21,Theft,139000.0,125100.0,Settled,0,10.0
CLM300087,POL205556,CUST100380,2023-02-17,Natural Calamity,48300.0,,Pending,0,
CLM300088,POL205263,CUST102392,2022-12-19,Fire,80800.0,,Pending,0,
CLM300089,POL201560,CUST103286,2023-10-10,Accident,38500.0,34800.0,Settled,0,18.0
CLM300090,POL206351,CUST103006,2021-11-10,Own Damage,115800.0,88800.0,Settled,0,19.0
CLM300091,POL205677,CUST103957,2022-12-31,Accident,55800.0,32200.0,Settled,0,17.0
CLM300092,POL202645,CUST101318,2022-05-27,Theft,74900.0,,Pending,0,
CLM300093,POL203276,CUST103079,2025-05-06,Natural Calamity,19600.0,13300.0,Settled,0,47.0
CLM300094,POL203777,CUST100205,2022-07-30,Death,77700.0,47700.0,Settled,0,73.0
CLM300095,POL204226,CUST102957,2023-09-12,Natural Calamity,57800.0,51900.0,Settled,0,20.0
CLM300096,POL205519,CUST103507,2022-11-23,Death,80000.0,53000.0,Settled,0,14.0
CLM300097,POL201978,CUST102464,2023-08-15,Natural Calamity,62300.0,45900.0,Settled,0,6.0
CLM300098,POL208126,CUST102242,2024-01-08,Natural Calamity,18200.0,16800.0,Settled,0,17.0
CLM300099,POL202271,CUST104838,2024-11-16,Own Damage,70400.0,55600.0,Settled,0,6.0
CLM300100,POL206248,CUST103198,2025-06-15,Medical,20100.0,19500.0,Settled,0,57.0
CLM300101,POL207154,CUST104449,2025-05-09,Theft,64500.0,59000.0,Settled,0,37.0
CLM300102,POL203139,CUST102510,2026-02-23,Medical,64100.0,,Pending,0,
CLM300103,POL200881,CUST101626,2026-04-15,Theft,62500.0,,Pending,0,
CLM300104,POL203775,CUST102369,2022-09-28,Own Damage,27400.0,19000.0,Settled,0,56.0
CLM300105,POL206427,CUST104110,2024-09-08,Death,115900.0,99200.0,Settled,0,73.0
CLM300106,POL205916,CUST101869,2022-08-29,Third-Party Liability,47000.0,30900.0,Settled,0,85.0
CLM300107,POL200507,CUST103025,2025-01-21,Theft,121500.0,77400.0,Settled,0,77.0
CLM300108,POL205287,CUST101995,2025-10-07,Third-Party Liability,18900.0,12500.0,Settled,0,18.0
CLM300109,POL204116,CUST103497,2022-12-19,Accident,38300.0,28400.0,Settled,0,41.0
CLM300110,POL209699,CUST103356,2023-04-12,Accident,81100.0,73700.0,Settled,0,25.0
CLM300111,POL207008,CUST102338,2024-01-18,Own Damage,29200.0,27600.0,Settled,0,17.0
CLM300112,POL205495,CUST101635,2025-04-28,Natural Calamity,99200.0,58900.0,Settled,0,81.0
CLM300113,POL201995,CUST101787,2024-10-17,Natural Calamity,29100.0,17100.0,Settled,0,68.0
CLM300114,POL203014,CUST103800,2022-12-24,Medical,68900.0,,Pending,0,
CLM300115,POL204089,CUST100097,2025-03-14,Own Damage,12600.0,10900.0,Settled,0,17.0
CLM300116,POL209627,CUST101355,2023-08-27,Natural Calamity,28400.0,,Pending,0,
CLM300117,POL200933,CUST103179,2023-07-21,Accident,18200.0,14000.0,Settled,0,5.0
CLM300118,POL209934,CUST101078,2025-01-22,Natural Calamity,52100.0,48800.0,Settled,0,18.0
CLM300119,POL207293,CUST100164,2023-09-03,Natural Calamity,15700.0,14300.0,Settled,0,13.0
CLM300120,POL202694,CUST104974,2023-01-23,Own Damage,39100.0,33800.0,Settled,0,26.0
CLM300121,POL205946,CUST104420,2024-06-09,Theft,148800.0,142100.0,Settled,0,52.0
CLM300122,POL206548,CUST102961,2023-07-17,Death,14900.0,,Pending,1,
CLM300123,POL200035,CUST102251,2023-04-18,Own Damage,21400.0,,Rejected,0,
CLM300124,POL200023,CUST101476,2024-06-03,Third-Party Liability,35000.0,31300.0,Settled,0,39.0
CLM300125,POL205183,CUST100588,2025-01-20,Accident,8200.0,4900.0,Settled,0,25.0
CLM300126,POL209585,CUST104440,2023-02-01,Medical,17000.0,,Rejected,0,
CLM300127,POL203299,CUST103111,2024-11-04,Medical,156100.0,125100.0,Settled,0,42.0
CLM300128,POL208937,CUST103512,2023-11-11,Medical,45600.0,35400.0,Settled,0,36.0
CLM300129,POL200591,CUST103183,2021-11-29,Third-Party Liability,8100.0,,Rejected,0,
CLM300130,POL202777,CUST104021,2022-04-01,Own Damage,33900.0,28500.0,Settled,0,82.0
CLM300131,POL206658,CUST102211,2025-08-30,Third-Party Liability,5700.0,,Rejected,1,
CLM300132,POL200315,CUST101379,2022-08-30,Third-Party Liability,80900.0,69100.0,Settled,0,9.0
CLM300133,POL207919,CUST102634,2024-03-31,Own Damage,10600.0,6600.0,Settled,1,27.0
CLM300134,POL201751,CUST103915,2026-02-01,Theft,32000.0,,Pending,0,
CLM300135,POL202410,CUST103363,2021-05-17,Medical,15000.0,9400.0,Settled,0,3.0
CLM300136,POL208963,CUST104522,2023-06-06,Death,104100.0,80400.0,Settled,0,36.0
CLM300137,POL200370,CUST103756,2023-01-15,Natural Calamity,102300.0,58600.0,Settled,0,61.0
CLM300138,POL205512,CUST102788,2022-11-18,Death,39200.0,25700.0,Settled,0,7.0
CLM300139,POL202421,CUST100999,2021-11-17,Third-Party Liability,47900.0,,Pending,0,
CLM300140,POL204815,CUST102844,2022-08-31,Accident,85200.0,64900.0,Settled,0,51.0
CLM300141,POL208539,CUST104969,2024-11-20,Natural Calamity,47200.0,35700.0,Settled,0,52.0
CLM300142,POL207535,CUST104469,2024-10-07,Medical,68000.0,,Pending,0,
CLM300143,POL206969,CUST103818,2025-09-02,Accident,2100.0,1300.0,Settled,0,83.0
CLM300144,POL205360,CUST103084,2025-07-10,Third-Party Liability,32500.0,26700.0,Settled,0,80.0
CLM300145,POL203064,CUST104227,2021-06-23,Own Damage,104400.0,,Rejected,0,
CLM300146,POL207867,CUST103454,2022-11-02,Theft,58700.0,,Pending,0,
CLM300147,POL204740,CUST101651,2024-04-12,Third-Party Liability,17100.0,12500.0,Settled,0,59.0
CLM300148,POL208205,CUST101553,2022-02-24,Fire,17500.0,13500.0,Settled,0,13.0
CLM300149,POL203049,CUST100124,2025-09-03,Own Damage,46900.0,45400.0,Settled,0,69.0
CLM300150,POL202577,CUST100429,2024-10-21,Third-Party Liability,46700.0,36400.0,Settled,0,50.0
CLM300151,POL205114,CUST102804,2022-05-12,Natural Calamity,114700.0,68200.0,Settled,0,81.0
CLM300152,POL205307,CUST104257,2022-07-08,Medical,27700.0,21800.0,Settled,0,12.0
CLM300153,POL208127,CUST101762,2024-12-02,Death,31600.0,20800.0,Settled,0,60.0
CLM300154,POL204611,CUST103585,2025-01-10,Own Damage,32300.0,28700.0,Settled,0,54.0
CLM300155,POL206145,CUST102601,2023-10-06,Third-Party Liability,30800.0,17500.0,Settled,0,65.0
CLM300156,POL206775,CUST101935,2025-02-27,Own Damage,39000.0,32100.0,Settled,0,53.0
CLM300157,POL206909,CUST102177,2024-08-26,Third-Party Liability,12600.0,,Pending,0,
CLM300158,POL204113,CUST102001,2024-12-23,Accident,70000.0,,Pending,0,
CLM300159,POL201012,CUST104578,2024-11-29,Third-Party Liability,92200.0,,Rejected,0,
CLM300160,POL203905,CUST103392,2023-02-23,Fire,72900.0,64500.0,Settled,0,61.0
CLM300161,POL200832,CUST102509,2025-03-19,Medical,83300.0,,Pending,0,
CLM300162,POL208904,CUST104615,2023-03-27,Theft,182900.0,151800.0,Settled,0,23.0
CLM300163,POL209099,CUST104772,2026-04-04,Third-Party Liability,45200.0,29100.0,Settled,0,45.0
CLM300164,POL208050,CUST103939,2025-02-05,Theft,123000.0,88700.0,Settled,1,38.0
CLM300165,POL208027,CUST103018,2022-02-10,Death,74800.0,65300.0,Settled,0,53.0
CLM300166,POL209626,CUST101777,2024-04-17,Death,24800.0,,Pending,0,
CLM300167,POL206538,CUST104471,2023-11-05,Accident,145900.0,131000.0,Settled,0,35.0
CLM300168,POL201156,CUST104781,2023-08-25,Death,41900.0,30800.0,Settled,0,86.0
CLM300169,POL201359,CUST103088,2023-03-10,Death,55800.0,35600.0,Settled,1,27.0
CLM300170,POL204417,CUST103020,2022-11-22,Death,62800.0,35400.0,Settled,0,67.0
CLM300171,POL208311,CUST101439,2024-03-20,Medical,47000.0,,Pending,0,
CLM300172,POL208170,CUST101593,2021-11-09,Third-Party Liability,126500.0,104500.0,Settled,0,25.0
CLM300173,POL209356,CUST101766,2024-06-06,Fire,51400.0,37700.0,Settled,0,34.0
CLM300174,POL207533,CUST104483,2023-01-23,Theft,19500.0,15800.0,Settled,0,22.0
CLM300175,POL205823,CUST100498,2024-08-30,Death,83000.0,47000.0,Settled,0,68.0
CLM300176,POL204430,CUST101154,2023-12-21,Fire,73000.0,,Pending,0,
CLM300177,POL206533,CUST101251,2024-11-24,Natural Calamity,43200.0,25000.0,Settled,0,52.0
CLM300178,POL204077,CUST100009,2024-03-10,Fire,123200.0,,Rejected,0,
CLM300179,POL206482,CUST101445,2024-05-31,Medical,73000.0,,Rejected,0,
CLM300180,POL206526,CUST103813,2026-07-09,Accident,11100.0,6300.0,Settled,0,86.0
CLM300181,POL207356,CUST101454,2022-09-02,Fire,20800.0,,Pending,0,
CLM300182,POL207290,CUST104369,2024-11-29,Third-Party Liability,44800.0,25200.0,Settled,1,54.0
CLM300183,POL203035,CUST103500,2023-10-31,Death,94200.0,52700.0,Settled,0,11.0
CLM300184,POL207916,CUST100927,2024-10-17,Third-Party Liability,26300.0,23000.0,Settled,0,22.0
CLM300185,POL206319,CUST104880,2024-08-01,Theft,50700.0,28200.0,Settled,0,17.0
CLM300186,POL201621,CUST102568,2025-08-20,Third-Party Liability,75500.0,,Pending,0,
CLM300187,POL205490,CUST101379,2025-01-28,Own Damage,108900.0,104800.0,Settled,1,83.0
CLM300188,POL204459,CUST102239,2023-01-03,Theft,70000.0,38700.0,Settled,0,17.0
CLM300189,POL200978,CUST103933,2022-08-12,Third-Party Liability,79900.0,66900.0,Settled,0,57.0
CLM300190,POL206296,CUST101027,2022-08-19,Fire,14800.0,14300.0,Settled,0,35.0
CLM300191,POL203721,CUST103636,2021-10-10,Theft,106300.0,102100.0,Settled,0,60.0
CLM300192,POL207751,CUST104115,2024-10-02,Theft,20700.0,20000.0,Settled,0,21.0
CLM300193,POL203278,CUST103866,2025-04-27,Theft,49200.0,31000.0,Settled,0,18.0
CLM300194,POL200647,CUST102963,2022-08-01,Own Damage,63900.0,40200.0,Settled,0,80.0
CLM300195,POL208626,CUST103363,2022-06-28,Death,21000.0,15700.0,Settled,1,4.0
CLM300196,POL206578,CUST104256,2024-05-24,Medical,21900.0,,Pending,0,
CLM300197,POL209296,CUST103880,2021-12-08,Medical,45000.0,29000.0,Settled,0,23.0
CLM300198,POL201099,CUST103477,2023-12-07,Theft,81900.0,78900.0,Settled,0,50.0
CLM300199,POL206484,CUST103407,2023-03-09,Death,39600.0,26200.0,Settled,0,50.0
CLM300200,POL203847,CUST104516,2025-08-06,Theft,37300.0,22300.0,Settled,0,84.0
CLM300201,POL200700,CUST100498,2022-11-21,Third-Party Liability,60900.0,46100.0,Settled,0,5.0
CLM300202,POL202289,CUST100484,2024-05-29,Fire,52600.0,41300.0,Settled,0,38.0
CLM300203,POL207901,CUST100851,2021-11-25,Death,66000.0,42400.0,Settled,0,44.0
CLM300204,POL200917,CUST100408,2023-03-27,Death,34000.0,25900.0,Settled,0,33.0
CLM300205,POL201292,CUST101624,2024-04-24,Natural Calamity,68100.0,,Pending,0,
CLM300206,POL201639,CUST101168,2025-05-23,Medical,36000.0,32700.0,Settled,0,19.0
CLM300207,POL202640,CUST104021,2023-05-05,Own Damage,50800.0,,Rejected,0,
CLM300208,POL205975,CUST100489,2025-01-10,Third-Party Liability,28800.0,26300.0,Settled,0,23.0
CLM300209,POL204666,CUST104008,2024-07-06,Own Damage,11700.0,9300.0,Settled,1,18.0
CLM300210,POL205089,CUST100781,2022-02-27,Medical,56800.0,41000.0,Settled,0,89.0
CLM300211,POL200423,CUST104457,2025-09-19,Medical,37100.0,30000.0,Settled,0,24.0
CLM300212,POL208899,CUST100438,2025-10-02,Natural Calamity,31300.0,,Pending,0,
CLM300213,POL203334,CUST103988,2023-12-11,Natural Calamity,33100.0,18300.0,Settled,0,68.0
CLM300214,POL202287,CUST101575,2023-07-09,Medical,28400.0,20500.0,Settled,0,42.0
CLM300215,POL206938,CUST101284,2024-11-13,Fire,60000.0,35800.0,Settled,0,49.0
CLM300216,POL200778,CUST103895,2025-06-07,Third-Party Liability,22300.0,16100.0,Settled,0,64.0
CLM300217,POL207529,CUST102008,2024-07-17,Natural Calamity,19100.0,11000.0,Settled,0,87.0
CLM300218,POL204095,CUST104859,2024-02-17,Death,33200.0,,Rejected,0,
CLM300219,POL201132,CUST103427,2024-08-28,Third-Party Liability,67100.0,50300.0,Settled,0,22.0
CLM300220,POL207627,CUST100475,2023-12-24,Natural Calamity,38300.0,,Rejected,0,
CLM300221,POL204714,CUST100867,2022-09-16,Third-Party Liability,25200.0,20600.0,Settled,0,65.0
CLM300222,POL201047,CUST100609,2024-07-13,Third-Party Liability,45400.0,,Rejected,0,
CLM300223,POL201284,CUST103149,2024-10-14,Death,102600.0,64100.0,Settled,0,26.0
CLM300224,POL200093,CUST102117,2023-03-13,Theft,48600.0,36400.0,Settled,0,16.0
CLM300225,POL202285,CUST103047,2023-09-03,Own Damage,57600.0,33800.0,Settled,0,79.0
CLM300226,POL207359,CUST104045,2024-06-27,Accident,34900.0,34000.0,Settled,1,11.0
CLM300227,POL200379,CUST100354,2024-11-19,Own Damage,52200.0,42300.0,Settled,0,84.0
CLM300228,POL200793,CUST103870,2024-01-07,Death,49200.0,,Pending,0,
CLM300229,POL206420,CUST103709,2024-11-09,Natural Calamity,58900.0,56600.0,Settled,0,22.0
CLM300230,POL203696,CUST101520,2024-08-06,Own Damage,69100.0,48400.0,Settled,0,57.0
CLM300231,POL201997,CUST103720,2023-04-28,Fire,75500.0,,Pending,0,
CLM300232,POL203463,CUST102353,2024-06-01,Theft,139000.0,,Rejected,0,
CLM300233,POL209209,CUST101984,2023-02-15,Own Damage,25400.0,,Rejected,0,
CLM300234,POL200038,CUST102181,2023-06-11,Theft,50100.0,36600.0,Settled,1,45.0
CLM300235,POL202670,CUST102987,2025-07-09,Natural Calamity,29500.0,23200.0,Settled,0,3.0
CLM300236,POL209846,CUST100030,2023-02-28,Own Damage,74500.0,,Rejected,0,
CLM300237,POL208883,CUST104980,2024-03-02,Medical,78400.0,,Rejected,0,
CLM300238,POL206224,CUST103740,2024-04-06,Medical,131000.0,,Pending,0,
CLM300239,POL209735,CUST102386,2024-03-16,Theft,47800.0,43800.0,Settled,1,50.0
CLM300240,POL202461,CUST104280,2021-10-27,Death,84600.0,75800.0,Settled,0,16.0
CLM300241,POL201697,CUST102191,2024-04-17,Natural Calamity,49500.0,34000.0,Settled,0,38.0
CLM300242,POL203795,CUST103922,2023-10-12,Natural Calamity,23500.0,22200.0,Settled,0,33.0
CLM300243,POL202113,CUST102774,2025-06-19,Natural Calamity,62600.0,,Pending,0,
CLM300244,POL206655,CUST104739,2025-10-25,Own Damage,44400.0,35500.0,Settled,0,27.0
CLM300245,POL204278,CUST103498,2024-07-13,Theft,114000.0,68200.0,Settled,0,4.0
CLM300246,POL207864,CUST101213,2024-03-02,Medical,80400.0,77400.0,Settled,0,31.0
CLM300247,POL200761,CUST104777,2025-11-14,Theft,27600.0,,Pending,0,
CLM300248,POL204040,CUST101115,2021-07-02,Accident,64700.0,61400.0,Settled,0,81.0
CLM300249,POL203023,CUST102966,2022-05-26,Theft,50500.0,,Pending,0,
CLM300250,POL205582,CUST101438,2024-05-22,Accident,31000.0,18200.0,Settled,0,57.0
CLM300251,POL204206,CUST102937,2025-03-19,Death,22000.0,12200.0,Settled,0,52.0
CLM300252,POL203385,CUST101713,2024-07-21,Death,39400.0,,Rejected,0,
CLM300253,POL208350,CUST102799,2023-03-24,Own Damage,12400.0,8100.0,Settled,0,77.0
CLM300254,POL200183,CUST103742,2025-06-18,Fire,11900.0,9100.0,Settled,0,43.0
CLM300255,POL203033,CUST104910,2024-05-02,Third-Party Liability,80300.0,68000.0,Settled,0,60.0
CLM300256,POL202420,CUST103437,2023-09-16,Theft,21100.0,11700.0,Settled,0,87.0
CLM300257,POL202999,CUST101731,2023-05-18,Fire,36900.0,,Rejected,0,
CLM300258,POL205206,CUST104115,2022-12-16,Fire,51100.0,36400.0,Settled,0,14.0
CLM300259,POL201574,CUST103120,2025-02-07,Own Damage,8100.0,,Pending,0,
CLM300260,POL202910,CUST100975,2024-05-06,Own Damage,39000.0,32700.0,Settled,1,67.0
CLM300261,POL207203,CUST103214,2021-09-03,Third-Party Liability,34800.0,27200.0,Settled,0,85.0
CLM300262,POL201050,CUST102774,2023-07-18,Fire,38100.0,24200.0,Settled,0,61.0
CLM300263,POL203151,CUST101911,2025-09-17,Medical,121400.0,73000.0,Settled,1,14.0
CLM300264,POL208971,CUST101857,2024-07-12,Third-Party Liability,64100.0,47500.0,Settled,0,81.0
CLM300265,POL204398,CUST103662,2022-04-07,Third-Party Liability,55700.0,44400.0,Settled,0,32.0
CLM300266,POL207106,CUST102972,2022-07-11,Fire,1000.0,700.0,Settled,0,36.0
CLM300267,POL202110,CUST104824,2022-12-07,Accident,91500.0,,Pending,0,
CLM300268,POL208680,CUST101328,2024-06-15,Accident,20300.0,,Rejected,0,
CLM300269,POL203065,CUST102117,2023-02-03,Death,57400.0,,Rejected,1,
CLM300270,POL203889,CUST101442,2023-02-14,Fire,90400.0,75400.0,Settled,0,56.0
CLM300271,POL209633,CUST103440,2025-09-29,Own Damage,84100.0,70600.0,Settled,0,59.0
CLM300272,POL207205,CUST104662,2022-12-27,Fire,45500.0,44500.0,Settled,0,79.0
CLM300273,POL203502,CUST103897,2023-11-19,Third-Party Liability,52800.0,52200.0,Settled,0,80.0
CLM300274,POL206344,CUST100460,2021-12-22,Own Damage,86800.0,63000.0,Settled,0,68.0
CLM300275,POL203728,CUST103710,2025-01-09,Fire,61800.0,44500.0,Settled,0,70.0
CLM300276,POL203466,CUST101352,2024-05-09,Theft,12400.0,,Pending,0,
CLM300277,POL203536,CUST102157,2023-05-26,Third-Party Liability,59000.0,46400.0,Settled,0,7.0
CLM300278,POL203393,CUST103388,2024-09-29,Fire,55900.0,31800.0,Settled,0,13.0
CLM300279,POL201201,CUST104822,2022-05-21,Accident,25600.0,,Pending,0,
CLM300280,POL205862,CUST100153,2023-01-24,Medical,78800.0,,Pending,0,
CLM300281,POL201346,CUST101799,2025-06-25,Medical,69600.0,,Pending,0,
CLM300282,POL200118,CUST100348,2024-04-25,Theft,66300.0,50600.0,Settled,0,22.0
CLM300283,POL209959,CUST104766,2023-07-17,Accident,43300.0,37000.0,Settled,0,88.0
CLM300284,POL200914,CUST104846,2023-10-08,Natural Calamity,136600.0,81900.0,Settled,0,89.0
CLM300285,POL200866,CUST101064,2023-02-25,Fire,44600.0,39800.0,Settled,1,88.0
CLM300286,POL206503,CUST104054,2023-03-02,Theft,133300.0,85300.0,Settled,0,71.0
CLM300287,POL208040,CUST103971,2022-01-03,Own Damage,60400.0,,Rejected,0,
CLM300288,POL207752,CUST104958,2025-01-24,Medical,42200.0,33300.0,Settled,0,34.0
CLM300289,POL209166,CUST100451,2023-09-02,Fire,46600.0,,Pending,0,
CLM300290,POL200663,CUST102428,2021-06-13,Fire,48900.0,37600.0,Settled,0,5.0
